EGID;EDID;EGAID;DEINR;ESID;STRNAME;STRNAMK;STRINDX;STRSP;STROFFIZIEL;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
310001;0;101936456;8;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;2682459.106;1227741.239;0;17.02.2024
310002;0;100176914;10;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;;;0;17.02.2024
310003;0;101981305;12;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;2682511.588;1227773.739;1;17.02.2024
310004;0;100176915;14;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;2682523.028;1227784.067;1;17.02.2024
310005;0;100176916;16;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;2682540.091;1227792.603;1;17.02.2024
310006;0;100176917;18;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;2682554.253;1227799.894;1;17.02.2024
310007;0;101973804;2;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682578.674;1227789.851;1;17.02.2024
310008;0;100175159;4;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682579.48;1227768.376;1;17.02.2024
310009;0;102227674;6;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682582.709;1227751.281;1;17.02.2024
310010;0;100175160;6a;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682576.98;1227752.048;1;17.02.2024
310011;0;101506456;8;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;;;0;17.02.2024
310012;0;100175161;10;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682594.732;1227703.923;1;17.02.2024
310013;0;101981304;12;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682598.72;1227697.786;1;17.02.2024
310014;0;100175162;14;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682597.213;1227667.182;1;17.02.2024
310015;0;100175163;16;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682608.789;1227654.317;1;17.02.2024
310016;0;101981087;18;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682608.901;1227645.345;1;17.02.2024
310017;0;101936039;15a;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682601.728;1227638.141;1;17.02.2024
310018;0;100175164;15;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682595.812;1227622.933;0;17.02.2024
310019;0;100175165;11;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682559.824;1227624.17;1;17.02.2024
310020;0;100175166;9;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682538.473;1227622.602;1;17.02.2024
310021;0;100176120;11b;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682560.652;1227672.418;1;17.02.2024
310022;0;101978862;11a;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682565.919;1227689.431;0;17.02.2024
310023;0;100176372;1;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682445.35;1227614.141;1;17.02.2024
