EGID	EWID	EDID	WHGNR	WEINR	WSTWK	WBEZ	WMEHRG	WBAUJ	WABBJ	WSTAT	WAREA	WAZIM	WKCHE	WEXPDAT
310001	1	0			3101		0	1999	2014	3007	90	4	1	2024-02-17
310001	2	0			3102		0	1999	2014	3007	90	4	1	2024-02-17
310001	3	0			3102		0	1999	2014	3007	70	3	1	2024-02-17
310001	4	0			3103	links	0	1999	2014	3007	70	3	1	2024-02-17
310001	5	0			3103	rechts	0	1999	2014	3007	75	3	1	2024-02-17
310002	1	0			3100		0	1999	1999	3007	80	4	1	2024-02-17
310002	2	0			3101		0	1999	1999	3007	80	4	1	2024-02-17
310002	3	0			3102		0	1999	1999	3007	80	4	1	2024-02-17
310003	1	0	2		3104		0	1999		3004	80	3	1	2024-02-17
310003	2	0	1		3103		0	1999		3004	80	3	1	2024-02-17
310004	1	0	Hotelzimmer4		3101		0	1999		3004	10	1	1	2024-02-17
310004	2	0			3102	mitte	0	1999		3004	104	3	1	2024-02-17
310004	3	0			3103	mitte	0	1999		3004	50	2	1	2024-02-17
310004	4	0	Hotelzimmer6		3101	links aussen	0	1999		3004	10	1	1	2024-02-17
310004	5	0			3101	rechts	0	1999		3004	60	2	1	2024-02-17
310004	6	0	Hotelzimmer3		3101	rechts aussen	0	1999		3004	10	1	1	2024-02-17
310004	7	0	Hotelzimmer5		3101	links	0	1999		3004	10	1	1	2024-02-17
310004	8	0	Hotelzimmer2		3101	mitte	0	1999		3004	10	1	1	2024-02-17
310004	9	0	Hotelzimmer7		3101		0	1999		3004	10	1	1	2024-02-17
310004	10	0	Hotelzimmer1		3101		0	1999		3004	10	1	1	2024-02-17
310004	11	0			3101	Mitte Mitte	0	1999		3004	100	4	1	2024-02-17
310005	1	0			3100		1	1999		3004	200	13	1	2024-02-17
310006	1	0	1		3101		0	1999		3004	110	4	1	2024-02-17
310006	2	0	2		3102		0	1999		3004	110	4	1	2024-02-17
310006	4	0			3100	mitte	0	1999		3004	40	2	1	2024-02-17
310007	1	0	1		3100		1	1999		3004	120	4	1	2024-02-17
310008	1	0	1		3101		0	1999		3004	60	3	1	2024-02-17
310008	2	0	2		3102		1	1999		3004	170	7	1	2024-02-17
310009	1	0	1001		3100		0	1999		3004	60	3	1	2024-02-17
